id,color,shape,material,size,pattern,origin,use_case,energy
0000,blue,hexagon,wood,L,dotted,urban,stationary,solar
0001,blue,triangle,glass,M,solid,rural,wearable,manual
0002,yellow,circle,fabric,M,striped,urban,stationary,electric
0003,black,triangle,plastic,S,striped,mountain,wearable,electric
0004,red,hexagon,metal,S,solid,rural,outdoor,manual
0005,yellow,triangle,glass,XL,plaid,urban,indoor,solar
0006,green,square,fabric,M,dotted,urban,stationary,manual
0007,black,hexagon,fabric,S,striped,rural,outdoor,electric
0008,black,square,wood,XS,solid,mountain,indoor,electric
0009,red,triangle,wood,XL,solid,urban,stationary,electric
000a,black,hexagon,plastic,M,dotted,coastal,outdoor,solar
000b,black,square,glass,XL,plaid,coastal,outdoor,electric
000c,blue,square,metal,S,striped,coastal,indoor,electric
000d,red,hexagon,fabric,S,dotted,mountain,wearable,manual
000e,yellow,square,metal,XS,solid,coastal,outdoor,solar
000f,green,square,fabric,XS,striped,rural,stationary,manual
0010,blue,square,fabric,L,striped,urban,wearable,electric
0011,green,square,plastic,S,plaid,urban,stationary,solar
0012,black,circle,metal,S,solid,rural,wearable,manual
0013,black,triangle,glass,L,striped,mountain,indoor,solar
0014,green,triangle,plastic,S,plaid,mountain,stationary,solar
0015,red,hexagon,wood,M,dotted,rural,stationary,solar
0016,yellow,triangle,fabric,S,solid,coastal,stationary,electric
0017,green,circle,metal,XL,solid,coastal,wearable,solar
0018,yellow,hexagon,glass,L,dotted,coastal,stationary,electric
0019,blue,circle,plastic,XS,dotted,urban,wearable,electric
001a,red,triangle,fabric,M,dotted,urban,wearable,solar
001b,blue,triangle,metal,M,striped,coastal,wearable,electric
001c,green,square,plastic,XS,plaid,urban,wearable,electric
001d,blue,square,metal,L,striped,coastal,indoor,manual
001e,red,hexagon,fabric,XL,dotted,urban,outdoor,electric
001f,green,hexagon,metal,XL,solid,coastal,wearable,manual
0020,blue,circle,metal,XL,striped,coastal,stationary,electric
0021,red,circle,glass,S,solid,urban,wearable,solar
0022,black,square,metal,L,striped,coastal,outdoor,solar
0023,blue,triangle,wood,M,solid,coastal,indoor,manual
0024,yellow,square,fabric,L,dotted,coastal,stationary,solar
0025,blue,hexagon,metal,XL,solid,rural,outdoor,electric
0026,black,circle,wood,L,solid,rural,stationary,solar
0027,green,triangle,fabric,XL,dotted,coastal,outdoor,electric
0028,green,circle,wood,S,dotted,rural,stationary,manual
0029,red,square,plastic,M,dotted,mountain,indoor,manual
002a,black,square,glass,M,solid,coastal,outdoor,solar
002b,black,triangle,glass,L,plaid,urban,outdoor,solar
002c,red,square,glass,XS,plaid,coastal,wearable,manual
002d,yellow,triangle,plastic,XL,plaid,mountain,outdoor,manual
002e,blue,triangle,metal,M,striped,urban,indoor,electric
002f,red,triangle,fabric,XS,plaid,rural,stationary,electric
0030,yellow,circle,glass,L,striped,urban,indoor,electric
0031,red,hexagon,glass,M,plaid,coastal,indoor,solar
0032,red,hexagon,fabric,XL,dotted,mountain,wearable,solar
0033,green,circle,wood,S,plaid,coastal,stationary,manual
0034,blue,triangle,metal,XL,striped,rural,wearable,electric
0035,yellow,square,fabric,L,dotted,rural,outdoor,manual
0036,black,circle,plastic,S,solid,coastal,indoor,solar
0037,green,triangle,plastic,M,striped,coastal,outdoor,manual
0038,blue,square,wood,M,solid,rural,wearable,electric
0039,blue,square,plastic,XL,striped,coastal,indoor,electric
003a,blue,circle,fabric,XL,striped,mountain,stationary,electric
003b,black,circle,metal,XS,striped,coastal,indoor,electric
003c,yellow,hexagon,wood,L,plaid,mountain,indoor,electric
003d,red,circle,fabric,L,striped,rural,outdoor,electric
003e,blue,triangle,wood,S,dotted,urban,stationary,manual
003f,blue,triangle,glass,XL,solid,mountain,stationary,solar
0040,yellow,circle,glass,S,dotted,coastal,indoor,manual
