id,color,shape,material,size,pattern,origin,use_case,energy
0000,blue,circle,plastic,XS,plaid,mountain,stationary,manual
0001,red,triangle,metal,M,striped,urban,outdoor,electric
0002,green,triangle,wood,XS,striped,mountain,outdoor,solar
0003,yellow,hexagon,glass,XS,striped,rural,outdoor,manual
0004,yellow,circle,glass,XL,striped,urban,wearable,solar
0005,black,circle,wood,S,solid,coastal,indoor,electric
0006,green,triangle,glass,XS,dotted,mountain,indoor,solar
0007,yellow,triangle,glass,L,dotted,urban,indoor,manual
0008,yellow,triangle,metal,M,dotted,coastal,wearable,manual
0009,red,triangle,plastic,XS,plaid,coastal,indoor,electric
000a,green,hexagon,wood,XL,plaid,urban,stationary,electric
000b,red,circle,metal,XS,striped,coastal,indoor,manual
000c,blue,square,fabric,M,plaid,urban,indoor,solar
000d,green,circle,metal,L,dotted,rural,wearable,manual
000e,blue,triangle,plastic,XS,striped,mountain,outdoor,manual
000f,green,square,wood,S,dotted,coastal,outdoor,manual
0010,green,square,glass,M,dotted,coastal,wearable,electric
0011,blue,hexagon,wood,XL,solid,mountain,indoor,solar
0012,blue,triangle,metal,M,plaid,urban,outdoor,electric
0013,blue,hexagon,plastic,XL,solid,rural,wearable,electric
0014,blue,triangle,plastic,XL,solid,mountain,stationary,solar
0015,yellow,square,fabric,L,dotted,rural,wearable,solar
0016,green,triangle,wood,XL,dotted,mountain,indoor,electric
0017,green,hexagon,glass,XS,dotted,coastal,indoor,manual
0018,red,hexagon,glass,XL,plaid,mountain,outdoor,electric
0019,green,hexagon,fabric,M,plaid,coastal,wearable,electric
001a,blue,square,metal,XS,striped,urban,wearable,manual
001b,yellow,square,wood,S,plaid,rural,outdoor,manual
001c,red,square,plastic,L,striped,urban,stationary,solar
001d,yellow,hexagon,wood,L,dotted,coastal,wearable,electric
001e,red,circle,glass,L,solid,rural,wearable,manual
001f,blue,triangle,plastic,XS,dotted,mountain,wearable,electric
0020,yellow,circle,fabric,XL,plaid,rural,wearable,manual
0021,red,circle,glass,M,plaid,rural,outdoor,manual
0022,green,triangle,metal,L,dotted,coastal,stationary,electric
0023,yellow,hexagon,fabric,M,solid,coastal,stationary,solar
0024,green,hexagon,fabric,M,striped,mountain,outdoor,solar
0025,green,circle,wood,M,solid,mountain,indoor,electric
0026,black,circle,wood,M,plaid,mountain,outdoor,electric
0027,red,triangle,metal,L,plaid,coastal,stationary,solar
0028,red,hexagon,metal,XS,solid,rural,outdoor,electric
0029,yellow,circle,glass,L,solid,coastal,stationary,electric
002a,green,triangle,metal,XL,striped,mountain,indoor,electric
002b,blue,circle,glass,L,plaid,coastal,wearable,solar
002c,red,square,wood,M,striped,mountain,indoor,solar
002d,green,square,wood,S,striped,urban,wearable,manual
002e,black,square,glass,L,solid,coastal,indoor,manual
002f,yellow,hexagon,plastic,M,solid,urban,wearable,electric
0030,green,square,glass,S,dotted,coastal,wearable,electric
0031,blue,hexagon,fabric,L,dotted,coastal,indoor,electric
0032,red,triangle,wood,XS,dotted,mountain,indoor,solar
0033,red,hexagon,wood,L,dotted,coastal,indoor,solar
0034,red,hexagon,metal,S,striped,coastal,outdoor,electric
0035,blue,circle,metal,S,dotted,mountain,stationary,solar
0036,red,circle,plastic,S,striped,urban,wearable,manual
0037,black,square,fabric,L,dotted,coastal,outdoor,electric
0038,red,hexagon,plastic,XS,solid,rural,stationary,manual
0039,red,triangle,metal,M,dotted,mountain,outdoor,electric
003a,red,circle,wood,S,plaid,mountain,indoor,electric
003b,blue,triangle,fabric,L,plaid,coastal,outdoor,solar
003c,black,triangle,plastic,M,dotted,rural,wearable,manual
003d,red,triangle,wood,M,dotted,coastal,outdoor,electric
003e,blue,circle,metal,XL,striped,rural,outdoor,solar
003f,green,circle,wood,L,plaid,urban,stationary,electric
0040,black,circle,glass,XL,solid,mountain,stationary,manual
0041,green,triangle,wood,S,dotted,rural,indoor,manual
0042,red,triangle,metal,M,solid,coastal,outdoor,manual
0043,black,circle,wood,L,striped,urban,stationary,solar
0044,blue,triangle,fabric,S,solid,coastal,stationary,manual
0045,blue,triangle,metal,XS,solid,rural,outdoor,electric
0046,yellow,hexagon,wood,S,striped,rural,stationary,manual
0047,green,circle,wood,L,striped,urban,outdoor,solar
0048,red,square,metal,M,plaid,mountain,outdoor,electric
0049,green,triangle,glass,M,solid,rural,stationary,manual
004a,red,triangle,wood,XS,plaid,mountain,indoor,manual
004b,green,triangle,glass,M,striped,rural,wearable,electric
004c,yellow,hexagon,fabric,XS,striped,urban,stationary,solar
004d,blue,hexagon,fabric,L,dotted,mountain,wearable,solar
004e,red,hexagon,wood,XS,plaid,mountain,stationary,electric
004f,green,square,plastic,XS,striped,urban,stationary,electric
0050,blue,circle,metal,XL,striped,rural,stationary,electric
0051,black,hexagon,plastic,XL,plaid,mountain,stationary,solar
0052,blue,square,plastic,L,dotted,rural,outdoor,solar
0053,red,square,fabric,S,striped,coastal,stationary,electric
0054,red,square,glass,XS,plaid,urban,indoor,manual
0055,black,square,fabric,M,dotted,urban,indoor,solar
0056,black,triangle,glass,XS,solid,mountain,indoor,solar
0057,red,triangle,plastic,XL,dotted,mountain,outdoor,electric
0058,blue,triangle,metal,L,dotted,urban,stationary,manual
0059,yellow,square,plastic,XL,striped,urban,wearable,solar
005a,red,hexagon,metal,XL,plaid,urban,wearable,electric
005b,red,circle,metal,XS,dotted,mountain,wearable,manual
005c,black,triangle,wood,L,solid,rural,outdoor,manual
005d,red,circle,wood,M,striped,rural,wearable,electric
005e,green,square,fabric,XS,striped,rural,indoor,electric
005f,red,triangle,glass,S,dotted,rural,outdoor,manual
0060,red,circle,glass,XS,plaid,coastal,indoor,electric
0061,blue,triangle,metal,XL,solid,coastal,wearable,manual
0062,yellow,hexagon,metal,L,striped,coastal,outdoor,solar
0063,blue,square,fabric,XS,solid,mountain,outdoor,electric
0064,black,hexagon,wood,S,dotted,rural,stationary,electric
0065,blue,square,metal,S,solid,coastal,stationary,solar
0066,blue,triangle,wood,M,dotted,rural,wearable,electric
0067,black,square,glass,L,striped,urban,stationary,electric
0068,green,triangle,plastic,M,solid,rural,indoor,manual
0069,red,circle,fabric,M,plaid,coastal,wearable,manual
006a,blue,square,glass,XS,dotted,mountain,wearable,solar
006b,green,square,metal,XS,solid,coastal,indoor,solar
006c,blue,circle,glass,L,plaid,urban,indoor,manual
006d,red,hexagon,wood,XS,dotted,rural,stationary,manual
006e,yellow,hexagon,wood,S,dotted,mountain,indoor,electric
006f,red,hexagon,metal,XS,striped,rural,wearable,manual
0070,red,triangle,fabric,L,solid,rural,outdoor,manual
0071,red,square,fabric,XL,dotted,urban,outdoor,electric
0072,black,square,fabric,XL,striped,urban,stationary,manual
0073,yellow,hexagon,wood,S,plaid,rural,wearable,manual
0074,black,circle,glass,M,dotted,urban,wearable,manual
0075,green,square,fabric,XL,plaid,urban,stationary,solar
0076,red,hexagon,wood,XS,solid,coastal,outdoor,electric
0077,red,hexagon,glass,M,striped,mountain,outdoor,manual
0078,black,square,fabric,XL,striped,mountain,outdoor,solar
0079,yellow,hexagon,wood,L,plaid,rural,indoor,electric
007a,red,hexagon,plastic,L,dotted,rural,outdoor,manual
007b,black,circle,wood,XL,solid,rural,wearable,manual
007c,red,triangle,glass,M,dotted,mountain,indoor,manual
007d,black,square,plastic,M,dotted,rural,wearable,solar
007e,yellow,hexagon,fabric,M,dotted,urban,indoor,manual
007f,green,hexagon,plastic,S,plaid,urban,wearable,manual
0080,yellow,triangle,plastic,S,solid,coastal,wearable,manual
0081,blue,triangle,wood,M,dotted,rural,wearable,manual
0082,green,square,glass,S,solid,coastal,stationary,manual
0083,green,triangle,plastic,XL,solid,rural,stationary,solar
0084,red,square,fabric,L,plaid,mountain,indoor,solar
0085,blue,triangle,fabric,S,striped,rural,wearable,solar
0086,blue,triangle,fabric,M,solid,urban,stationary,manual
0087,blue,circle,wood,XS,plaid,coastal,wearable,solar
0088,black,square,wood,XS,solid,urban,indoor,solar
0089,blue,hexagon,plastic,XS,striped,coastal,indoor,manual
008a,yellow,circle,metal,M,plaid,rural,indoor,solar
008b,blue,hexagon,plastic,S,plaid,coastal,stationary,solar
008c,red,square,metal,S,striped,rural,stationary,manual
008d,blue,hexagon,metal,S,solid,coastal,indoor,manual
008e,yellow,hexagon,plastic,L,dotted,mountain,wearable,manual
008f,red,triangle,plastic,M,plaid,mountain,outdoor,electric
0090,yellow,circle,fabric,XS,striped,urban,outdoor,electric
0091,black,square,wood,L,dotted,urban,wearable,solar
0092,blue,triangle,fabric,L,dotted,rural,wearable,solar
0093,blue,hexagon,glass,XS,plaid,rural,stationary,electric
0094,green,hexagon,glass,XL,striped,mountain,stationary,electric
0095,yellow,square,wood,S,plaid,rural,indoor,electric
